gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os03g15050,3.23,5.75E-51,53.744,469.776,"phosphoenolpyruvate carboxykinase, putative "
LOC_Os11g13390,3.22,8.31E-24,1.344,12.107,expressed protein
LOC_Os05g33160,3.22,2.67E-12,0.119,1.141,"inactive receptor kinase At1g27190 precursor, putative "
LOC_Os06g43080,3.21,4.28E-13,0.326,2.833,expressed protein
LOC_Os10g34920,3.21,3.65E-58,5.543,47.815,"secretory protein, putative "
LOC_Os02g37290,3.19,1.82E-127,16.844,145.507,"heavy metal associated domain containing protein, "
LOC_Os10g25340,3.18,1.46E-33,1.236,10.420,"GDSL-like lipase/acylhydrolase, putative "
LOC_Os02g27310,3.18,4.05E-54,0.750,6.400,"TKL_IRAK_DUF26-lc.6 - DUF26 kinases have homology to DUF26 containing loci, "
LOC_Os02g03400,3.17,4.86E-15,0.147,1.246,"microtubule associated protein, putative "
LOC_Os01g16980,3.17,2.28E-45,4.034,34.764,expressed protein
LOC_Os05g05080,3.17,3.85E-22,1.847,15.430,expressed protein
LOC_Os11g47530,3.17,2.55E-45,0.890,7.611,"glycosyl hydrolase, putative "
LOC_Os10g09240,3.16,9.58E-50,1.832,15.539,expressed protein
LOC_Os12g43870,3.16,3.93E-21,1.576,13.259,expressed protein
LOC_Os03g64260,3.14,7.17E-25,0.642,5.367,"AP2 domain containing protein, "
LOC_Os11g05614,3.14,4.58E-44,0.448,3.758,"no apical meristem protein, putative "
LOC_Os01g20206,3.14,2.69E-28,1.927,15.918,"methyltransferase, putative "
LOC_Os11g45990,3.13,1.34E-32,0.702,5.729,"von Willebrand factor type A domain containing protein, putative "
LOC_Os03g32230,3.13,6.32E-43,1.019,8.470,ZOS3-12 - C2H2 zinc finger protein
LOC_Os05g09020,3.12,4.70E-92,5.973,49.407,WRKY67
LOC_Os07g48830,3.12,7.53E-68,12.703,103.379,"glycosyl transferase 8 domain containing protein, putative "
LOC_Os04g56700,3.12,5.41E-06,0.031,0.292,"naringenin,2-oxoglutarate 3-dioxygenase, putative "
LOC_Os02g12820,3.11,3.33E-26,0.277,2.284,helix-loop-helix DNA-binding domain containing protein
LOC_Os11g18670,3.11,4.21E-18,0.255,2.195,"ubiquitin family protein, putative "
LOC_Os07g48730,3.11,1.99E-76,2.974,23.983,"tyrosine protein kinase domain containing protein, putative "
LOC_Os01g07050,3.10,1.41E-10,1.108,8.630,POEI42 - Pollen Ole e I allergen and extensin family protein precursor
LOC_Os04g15580,3.10,2.29E-20,0.153,1.241,"serine/threonine-protein kinase receptor precursor, putative "
LOC_Os01g60020,3.09,1.14E-74,2.306,18.716,"NAC domain transcription factor, putative "
LOC_Os02g52170,3.08,6.66E-49,1.523,12.194,expressed protein
LOC_Os02g06160,3.07,2.10E-07,0.068,0.540,"cysteine-rich receptor-like protein kinase 16 precursor, putative "
LOC_Os03g08410,3.07,9.35E-15,0.469,3.636,"flavin-containing monooxygenase family protein, putative "
LOC_Os10g05660,3.07,1.00E-112,7.245,57.507,"thaumatin, putative "
LOC_Os08g42350,3.07,4.30E-06,0.057,0.468,"nodulin MtN3 family protein, putative "
LOC_Os01g15100,3.07,2.54E-43,2.796,22.332,expressed protein
LOC_Os02g18070,3.06,6.04E-34,0.312,2.508,"NB-ARC domain containing protein, "
LOC_Os03g53540,3.06,1.16E-25,0.728,5.679,expressed protein
LOC_Os09g37540,3.06,1.71E-47,1.575,12.396,"uncharacterized protein PA4923, putative "
LOC_Os01g51670,3.06,2.57E-102,8.091,62.992,expressed protein
LOC_Os09g38850,3.05,2.93E-18,0.099,0.790,"OsWAK91 - OsWAK receptor-like protein kinase, "
LOC_Os06g11720,3.05,5.96E-116,6.995,54.493,"cytokinin-O-glucosyltransferase 2, putative "
LOC_Os08g38810,3.04,8.29E-13,0.091,0.714,"BURP domain containing protein, "
LOC_Os10g34940,3.04,6.28E-63,7.971,61.602,expressed protein
LOC_Os09g31025,3.03,9.62E-10,0.119,0.975,"EF hand family protein, "
LOC_Os01g72530,3.02,7.93E-70,5.078,38.621,"OsCML31 - Calmodulin-related calcium sensor protein, "
LOC_Os01g12190,3.02,9.53E-32,1.222,9.543,expressed protein
LOC_Os06g38120,3.02,1.60E-29,0.365,2.839,"low-affinity cation transporter, putative "
LOC_Os09g38239,3.02,3.03E-18,0.240,1.772,"sulfotransferase domain containing protein, "
LOC_Os08g43740,3.02,5.71E-11,0.089,0.721,expressed protein
LOC_Os08g01480,3.01,6.83E-59,1.766,13.320,"cytochrome P450, putative "
LOC_Os06g03580,3.01,1.94E-91,18.064,136.307,"zinc RING finger protein, putative "
LOC_Os11g42200,3.00,6.29E-46,2.746,20.595,"laccase precursor protein, putative "
LOC_Os04g36070,3.00,6.49E-82,3.188,24.152,"OsRR1  type-A response regulator, "
LOC_Os03g47810,2.98,1.50E-28,0.656,4.866,"nodulin family protein, putative "
LOC_Os08g29910,2.98,3.31E-14,0.291,2.134,"prenyltransferase, putative"
LOC_Os08g04180,2.98,1.11E-81,67.980,500.972,"tryptophan synthase beta chain 1, putative "
LOC_Os01g66530,2.97,1.63E-37,1.493,11.050,"ARGOS, putative "
LOC_Os10g01240,2.97,7.76E-06,0.110,0.843,"VQ domain containing protein, putative "
LOC_Os11g37970,2.97,8.68E-26,1.103,8.405,"WIP5 - Wound-induced protein precursor, "
LOC_Os09g27260,2.96,3.40E-11,0.318,2.255,"plant viral response family protein, putative "
LOC_Os08g36920,2.96,7.30E-06,0.051,0.395,"AP2 domain containing protein, "
LOC_Os05g30510,2.95,7.96E-14,0.461,3.426,expressed protein
LOC_Os03g17680,2.95,7.09E-69,6.841,49.907,expressed protein
LOC_Os09g30050,2.95,3.00E-48,2.606,19.044,expressed protein
LOC_Os11g02100,2.94,8.77E-98,15.787,114.971,"peroxidase precursor, putative "
LOC_Os09g37800,2.94,2.78E-29,0.353,2.537,"serine/threonine kinase, putative "
LOC_Os12g14480,2.94,7.85E-08,0.075,0.546,"cysteine-rich receptor-like protein kinase 23 precursor, putative "
LOC_Os02g50450,2.94,3.03E-18,0.814,5.908,hypothetical protein
LOC_Os02g41840,2.94,3.60E-54,4.086,29.207,"DUF584 domain containing protein, putative "
LOC_Os04g09900,2.94,1.05E-48,3.469,24.841,"ent-kaurene synthase, chloroplast precursor, putative "
LOC_Os07g34980,2.93,2.31E-19,0.334,2.403,"TKL_IRAK_DUF26-lh.9 - DUF26 kinases have homology to DUF26 containing loci, "
LOC_Os03g10030,2.92,2.07E-68,4.334,30.811,"membrane associated DUF588 domain containing protein, putative "
LOC_Os04g03164,2.92,8.80E-108,19.089,135.473,expressed protein
LOC_Os12g14440,2.92,1.03E-05,0.087,0.658,"Jacalin-like lectin domain containing protein, putative "
LOC_Os04g39540,2.91,3.37E-68,12.101,85.328,expressed protein
LOC_Os04g20540,2.91,4.07E-20,0.306,2.216,"anthocyanidin 3-O-glucosyltransferase, putative "
LOC_Os01g44120,2.91,6.89E-31,1.161,8.269,expressed protein
LOC_Os08g10500,2.91,7.56E-25,21.221,148.548,expressed protein
LOC_Os01g58990,2.91,1.72E-06,0.104,0.714,"cytochrome P450, putative "
LOC_Os01g60520,2.91,6.42E-20,0.545,3.937,"WRKY116, "
LOC_Os06g06620,2.91,3.57E-06,0.231,1.555,expressed protein
LOC_Os10g34930,2.90,1.37E-79,36.665,256.811,"secretory protein, putative "
LOC_Os06g46920,2.90,6.29E-31,1.140,8.033,"dihydroflavonol-4-reductase, putative "
LOC_Os05g05100,2.90,1.45E-17,0.552,3.912,expressed protein
LOC_Os02g46100,2.90,6.13E-55,3.438,24.486,"RING-H2 finger protein, putative "
LOC_Os05g08910,2.89,2.94E-27,1.300,9.170,expressed protein
LOC_Os12g36860,2.89,3.62E-09,0.168,1.140,"pathogenesis-related protein 10, putative "
LOC_Os11g30910,2.89,2.98E-33,1.311,9.040,"sulfotransferase domain containing protein, "
LOC_Os11g29870,2.87,4.41E-61,4.826,33.200,"WRKY72, "
LOC_Os07g22850,2.87,1.73E-21,0.326,2.218,"chalcone and stilbene synthases, putative "
LOC_Os10g42020,2.87,3.54E-43,4.722,32.638,"RALFL29 - Rapid ALkalinization Factor RALF family protein precursor, "
LOC_Os03g63620,2.86,5.64E-42,2.409,16.560,"tetraspanin family protein, putative "
LOC_Os07g36560,2.85,2.51E-27,0.404,2.787,"transferase family protein, putative "
LOC_Os01g32460,2.85,8.37E-57,3.759,25.584,expressed protein
LOC_Os02g04170,2.85,1.46E-64,1.492,10.183,"L-aspartate oxidase 1, putative "
LOC_Os07g35680,2.85,2.07E-83,1.876,12.736,"TKL_IRAK_DUF26-lc22 - DUF26 kinases have homology to DUF26 containing loci, "
LOC_Os02g11859,2.84,6.03E-80,5.547,37.551,expressed protein
LOC_Os01g60600,2.84,4.05E-27,0.425,2.848,"WRKY108, "
LOC_Os02g35180,2.84,2.27E-92,32.585,220.114,"OsRR2  type-A response regulator, "
LOC_Os03g10640,2.83,3.51E-56,5.574,36.965,"calcium-transporting ATPase, plasma membrane-type, putative "
LOC_Os02g40200,2.83,1.40E-11,0.050,0.342,"receptor-like protein kinase precursor, putative "
LOC_Os06g34020,2.82,4.75E-87,8.155,54.728,"glycosyl hydrolases family 17, putative "
LOC_Os02g53250,2.82,1.83E-13,1.301,8.373,expressed protein
LOC_Os05g50100,2.81,2.11E-74,6.496,42.869,expressed protein
LOC_Os06g23260,2.81,8.78E-05,0.014,0.099,"transposon protein, putative CACTA, En/Spm sub-class, "
LOC_Os09g07440,2.81,4.11E-104,7.200,47.598,"retrotransposon protein, putative unclassified "
LOC_Os03g46860,2.81,1.52E-35,1.628,10.619,"helix-loop-helix DNA-binding protein, putative "
LOC_Os07g37280,2.81,2.80E-13,0.660,4.186,hypothetical protein
LOC_Os01g07030,2.80,3.15E-20,1.337,8.643,"POEI40 - Pollen Ole e I allergen and extensin family protein precursor, "
LOC_Os04g02860,2.80,4.80E-13,0.135,0.867,"disease resistance protein RPM1, putative "
LOC_Os02g15020,2.80,2.41E-18,0.640,4.354,"zinc finger, C3HC4 type domain containing protein, "
LOC_Os01g09190,2.79,4.38E-06,0.071,0.469,expressed protein
LOC_Os04g56560,2.79,4.67E-16,0.447,2.890,"proton-dependent oligopeptide transport, putative "
LOC_Os07g08430,2.79,1.65E-71,53.470,346.773,"indole-3-glycerol phosphate lyase, chloroplast precursor, putative "
LOC_Os03g44636,2.79,4.30E-22,1.960,12.610,"zinc finger, C3HC4 type domain containing protein, "
LOC_Os08g34580,2.79,3.53E-72,1.193,7.773,"trehalose-6-phosphate synthase, putative "
LOC_Os05g50340,2.79,3.12E-33,5.278,34.357,"MYB family transcription factor, putative "
LOC_Os12g18560,2.79,2.18E-20,0.480,3.159,"invertase/pectin methylesterase inhibitor family protein, putative "
LOC_Os05g33200,2.78,2.10E-12,0.407,2.562,"endo-1,3;1,4-beta-D-glucanase precursor, putative "
LOC_Os03g15780,2.78,1.08E-70,20.956,134.983,"anthranilate synthase component I-1, chloroplast precursor, putative "
LOC_Os04g32480,2.78,9.16E-40,1.815,11.810,"zinc-finger protein, putative "
LOC_Os12g35890,2.78,1.12E-06,0.085,0.521,"FAD dependent oxidoreductase domain containing protein, "
LOC_Os11g15250,2.77,6.08E-60,11.575,74.398,"THION31 - Plant thionin family protein precursor, "
LOC_Os06g04220,2.77,1.23E-25,1.178,7.717,expressed protein
LOC_Os01g02130,2.77,4.18E-40,1.682,10.931,expressed protein
LOC_Os02g50110,2.77,6.06E-05,0.322,2.307,expressed protein
LOC_Os04g38950,2.76,1.93E-95,22.210,141.619,"class I glutamine amidotransferase, putative "
LOC_Os03g07180,2.76,1.08E-49,1.513,9.751,"embryonic protein DC-8, putative "
LOC_Os10g28080,2.76,2.48E-73,6.262,39.739,"glycosyl hydrolase, putative "
LOC_Os03g07170,2.75,2.29E-53,2.371,14.984,"lactose permease-related, putative "
LOC_Os04g10000,2.75,3.20E-40,2.369,14.938,"sex determination protein tasselseed-2, putative "
LOC_Os08g28710,2.75,5.50E-23,0.354,2.291,"receptor protein kinase CRINKLY4 precursor, putative "
LOC_Os03g37290,2.75,2.33E-08,0.058,0.400,"cytochrome P450, putative "
LOC_Os08g09020,2.75,3.81E-80,11.045,69.692,"Cupin domain containing protein, "
LOC_Os10g29570,2.74,3.21E-29,2.283,14.605,"late embryogenesis abundant protein D-34, putative "
LOC_Os05g27080,2.74,8.74E-12,0.058,0.381,"retrotransposon protein, putative unclassified "
LOC_Os09g07450,2.73,7.07E-46,27.111,168.379,"flavonol synthase, putative "
LOC_Os01g55510,2.73,6.15E-55,5.014,31.559,"dynein light chain type 1 domain containing protein, "
LOC_Os06g10040,2.73,1.04E-07,0.333,1.996,expressed protein
LOC_Os01g64790,2.73,1.12E-36,0.983,6.204,"AP2 domain containing protein, "
LOC_Os01g43740,2.73,2.40E-08,0.067,0.408,"cytochrome P450 72A1, putative "
LOC_Os03g08834,2.73,5.22E-11,0.253,1.640,expressed protein
LOC_Os02g15280,2.72,9.25E-11,0.439,2.734,"VQ domain containing protein, putative "
LOC_Os08g34360,2.72,5.51E-26,0.657,4.044,"AP2 domain containing protein, "
LOC_Os05g27350,2.71,3.56E-27,0.870,5.453,expressed protein
LOC_Os01g44390,2.71,1.01E-07,0.099,0.631,"MYB family transcription factor, putative "
LOC_Os09g21120,2.71,1.51E-84,2.684,16.563,"armadillo/beta-catenin repeat family protein, putative "
LOC_Os01g04330,2.70,7.19E-68,6.495,39.739,"OsCML16 - Calmodulin-related calcium sensor protein, "
LOC_Os06g04900,2.69,3.84E-27,0.621,3.771,"transporter family protein, putative "
LOC_Os02g41510,2.69,8.64E-104,7.826,47.589,"MYB family transcription factor, putative "
LOC_Os04g10800,2.69,2.00E-08,0.130,0.778,"inorganic phosphate transporter, putative "
LOC_Os09g17152,2.69,1.05E-31,0.926,5.684,"OsFBX319 - F-box domain containing protein, "
LOC_Os10g20340,2.69,3.83E-05,0.216,1.403,expressed protein
LOC_Os05g03770,2.69,8.53E-37,1.430,8.642,expressed protein
LOC_Os06g11840,2.68,6.55E-19,1.073,6.426,"trehalose phosphatase, putative "
LOC_Os06g21360,2.67,1.85E-11,0.167,1.055,"transporter, monovalent cation:proton antiporter-2 family, putative "
LOC_Os06g01966,2.67,3.38E-19,0.545,3.350,"auxin-induced protein 5NG4, putative "
LOC_Os01g50420,2.67,4.07E-25,0.931,5.553,"STE_MEKK_ste11_MAP3K.7 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast"
LOC_Os10g28970,2.67,6.71E-26,0.505,3.031,"BTB6 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain, "
LOC_Os10g40360,2.66,4.56E-68,14.513,86.064,"proline oxidase, mitochondrial precursor, putative "
LOC_Os02g39884,2.66,2.17E-23,0.826,4.883,expressed protein
LOC_Os12g42010,2.66,1.60E-05,0.104,0.600,"lipase class 3 family protein, putative "
LOC_Os12g13550,2.66,3.07E-19,0.287,1.709,"NBS-LRR disease resistance protein, putative "
LOC_Os08g29570,2.66,2.01E-75,8.428,49.884,"pleiotropic drug resistance protein 3, putative "
LOC_Os03g22200,2.65,1.49E-54,4.687,27.969,"nodulin MtN3 family protein, putative "
LOC_Os01g04690,2.65,1.28E-26,4.929,29.554,expressed protein
LOC_Os01g10870,2.65,1.13E-07,0.356,2.109,CAMK_KIN1/SNF1/Nim1_like.7 - CAMK includes calcium/calmodulin depedent protein kinases
LOC_Os03g08320,2.65,2.65E-44,6.221,36.412,"ZIM domain containing protein, putative "
LOC_Os10g37650,2.65,2.44E-09,0.228,1.316,"impaired sucrose induction 1, putative "
LOC_Os01g72330,2.65,1.85E-104,37.062,218.540,"OsRR4  type-A response regulator, "
LOC_Os08g35580,2.64,2.40E-08,0.348,1.976,expressed protein
LOC_Os08g36860,2.64,4.91E-74,3.126,18.405,"cytochrome P450, putative "
LOC_Os01g41420,2.64,2.02E-07,0.136,0.808,"transmembrane amino acid transporter protein, putative "
LOC_Os02g36280,2.64,1.70E-11,0.122,0.723,"cytochrome P450, putative "
LOC_Os07g07290,2.64,5.11E-06,0.081,0.527,expressed protein
LOC_Os07g41240,2.64,4.60E-10,0.081,0.493,"cytochrome P450, putative "
LOC_Os10g26340,2.64,1.16E-27,8.375,48.516,"cytochrome P450, putative "
LOC_Os01g11150,2.64,1.63E-05,0.065,0.404,"gibberellin 2-beta-dioxygenase, putative "
LOC_Os10g39680,2.63,1.45E-60,41.238,239.937,"CHIT14 - Chitinase family protein precursor, "
LOC_Os11g37960,2.63,1.33E-30,59.159,342.702,"WIP4 - Wound-induced protein precursor, "
LOC_Os09g26960,2.63,1.17E-60,68.501,397.956,"cytochrome P450, putative "
LOC_Os02g47390,2.63,8.98E-08,0.042,0.237,expressed protein
LOC_Os10g20794,2.63,8.46E-05,0.033,0.203,"transposon protein, putative CACTA, En/Spm sub-class"
LOC_Os07g33700,2.63,5.35E-09,0.034,0.209,"transposon protein, putative unclassified "
LOC_Os01g19330,2.63,3.98E-13,0.423,2.506,"MYB family transcription factor, putative "
LOC_Os03g50490,2.63,3.55E-34,1.117,6.426,"glutamine synthetase, catalytic domain containing protein "
LOC_Os10g20350,2.63,1.25E-38,1.678,9.782,"MATE efflux family protein, putative "
LOC_Os06g46950,2.63,1.93E-98,13.762,79.982,"EF hand family protein, putative "
LOC_Os12g05990,2.62,1.48E-14,0.478,2.758,"No apical meristem protein, putative "
LOC_Os05g48680,2.62,1.11E-53,6.180,35.665,expressed protein
LOC_Os10g25290,2.60,1.32E-66,5.799,33.217,"ZIM domain containing protein, putative "
LOC_Os01g12580,2.60,6.26E-17,0.578,3.289,"late embryogenesis abundant protein, putative "
LOC_Os11g44600,2.60,1.27E-40,10.365,58.754,"calmodulin binding protein, putative "
LOC_Os02g26430,2.60,2.72E-06,0.120,0.749,"WRKY42, "
LOC_Os04g25980,2.60,6.92E-12,0.236,1.340,"cytokinin-O-glucosyltransferase 2, putative "
LOC_Os10g32900,2.60,4.05E-09,0.106,0.619,CCT motif family protein 
LOC_Os11g47520,2.59,1.46E-59,3.382,19.284,"glycosyl hydrolase, putative "
LOC_Os01g32670,2.59,3.79E-60,15.189,86.175,expressed protein
LOC_Os02g18080,2.59,6.20E-16,0.114,0.664,NB-ARC domain containing protein 
LOC_Os02g42190,2.59,2.39E-13,0.111,0.641,"OsWAK16 - OsWAK receptor-like protein kinase, "
LOC_Os06g08830,2.58,2.01E-23,1.202,6.689,"UDP-glucoronosyl and UDP-glucosyl transferase, putative "
LOC_Os10g04800,2.58,7.19E-12,4.104,22.353,expressed protein
LOC_Os07g02690,2.58,2.10E-16,0.792,4.422,"DUF538 domain containing protein, putative "
LOC_Os04g49370,2.58,6.22E-46,4.731,26.505,expressed protein
LOC_Os03g24130,2.57,9.08E-10,0.292,1.587,"CXXC1 - Cysteine-rich protein with CXXC and CXXXC motifs precursor, putative "
LOC_Os04g58090,2.57,8.00E-31,1.807,10.014,harpin-induced protein 1 domain containing protein 
LOC_Os10g35460,2.57,1.79E-63,16.811,93.798,"COBRA, putative "
LOC_Os04g31610,2.57,1.80E-67,2.833,15.810,OsFBO3 - F-box and other domain containing protein 
LOC_Os03g52330,2.57,3.69E-11,1.207,6.872,hypothetical protein
LOC_Os05g07120,2.57,6.08E-18,0.471,2.654,"basic helix-loop-helix, putative "
LOC_Os04g24478,2.57,1.30E-10,0.298,1.750,"jasmonate-induced protein, putative "
LOC_Os07g39750,2.56,2.41E-56,1.631,9.087,"GDSL-like lipase/acylhydrolase, putative "
LOC_Os07g04560,2.56,2.31E-49,11.228,62.074,"no apical meristem protein, putative "
LOC_Os08g24310,2.56,7.46E-51,2.735,15.114,"receptor-like protein kinase precursor, putative "
LOC_Os11g44700,2.56,2.14E-36,1.792,10.008,"calmodulin binding protein, putative "
LOC_Os05g02570,2.56,4.61E-07,0.064,0.371,F-box protein interaction domain containing protein 
LOC_Os02g46210,2.56,5.77E-37,1.882,10.534,DUF581 domain containing protein 
LOC_Os12g02450,2.56,2.19E-21,0.902,5.079,"WRKY64, "
LOC_Os12g27850,2.56,2.34E-05,0.194,1.062,"LGC1, putative "
LOC_Os05g08860,2.55,7.08E-41,2.499,13.836,expressed protein
LOC_Os05g07810,2.55,1.33E-19,0.672,3.760,"universal stress protein domain containing protein, putative "
LOC_Os12g06060,2.55,1.43E-72,3.738,20.633,"amino acid permease family protein, putative "
LOC_Os03g60570,2.54,5.94E-20,1.005,5.526,ZOS3-22 - C2H2 zinc finger protein 
LOC_Os09g17146,2.54,2.01E-18,0.315,1.747,expressed protein
LOC_Os07g47550,2.53,1.79E-09,0.115,0.620,"glucosyltransferase, putative "
LOC_Os03g25760,2.53,7.31E-57,4.738,25.663,"calmodulin-binding protein, putative "
LOC_Os06g34640,2.53,3.46E-06,0.227,1.251,"zinc finger, C3HC4 type domain containing protein "
LOC_Os12g36850,2.52,4.26E-58,20.339,109.862,"pathogenesis-related Bet v I family protein, putative "
LOC_Os06g51050,2.52,8.83E-84,10.469,56.479,"CHIT7 - Chitinase family protein precursor, "
LOC_Os03g37930,2.52,2.46E-15,0.595,3.220,"potassium transporter, putative "
LOC_Os10g38670,2.52,1.27E-71,18.323,98.600,"glutathione S-transferase, putative "
LOC_Os05g05110,2.52,1.22E-08,0.325,1.842,expressed protein
LOC_Os03g56200,2.52,9.18E-12,0.238,1.282,expressed protein
LOC_Os05g38880,2.52,6.63E-07,0.213,1.221,expressed protein
LOC_Os05g48570,2.51,2.21E-44,7.665,41.051,expressed protein
LOC_Os02g43790,2.51,5.53E-76,12.509,67.166,"ethylene-responsive transcription factor, putative "
LOC_Os03g47280,2.51,1.28E-18,0.845,4.631,"VQ domain containing protein, putative "
LOC_Os02g51930,2.51,8.47E-54,8.837,47.088,"cytokinin-O-glucosyltransferase 2, putative "
LOC_Os01g23970,2.51,2.43E-10,0.901,4.713,"cysteine-rich receptor protein kinase, putative "
LOC_Os02g41450,2.50,1.79E-21,2.683,14.157,"no apical meristem protein, putative "
LOC_Os06g09990,2.50,2.39E-32,7.060,37.913,expressed protein
LOC_Os11g28470,2.50,6.21E-15,2.285,12.018,expressed protein
LOC_Os11g44630,2.49,5.16E-33,20.193,106.173,"calmodulin binding protein, putative "
LOC_Os10g42040,2.49,6.16E-43,6.436,34.392,expressed protein
LOC_Os12g13790,2.49,2.91E-05,0.059,0.311,POT family protein 
LOC_Os10g37120,2.49,1.11E-13,0.426,2.262,"transposon protein, putative unclassified "
LOC_Os12g05510,2.49,1.33E-14,0.458,2.450,expressed protein
LOC_Os10g38780,2.49,1.78E-57,18.948,99.448,"glutathione S-transferase, putative "
LOC_Os07g37400,2.49,3.10E-34,2.347,12.313,OsFBX257 - F-box domain containing protein 
LOC_Os04g13210,2.49,1.43E-60,2.397,12.644,"multidrug resistance-associated protein, putative "
LOC_Os09g30490,2.48,9.20E-07,0.143,0.843,EF hand family protein 
LOC_Os03g60080,2.48,2.43E-68,12.208,64.203,"NAC domain-containing protein 67, putative "
LOC_Os02g44090,2.48,2.05E-08,0.227,1.212,"zinc finger protein, putative "
LOC_Os07g12890,2.48,2.15E-32,1.319,6.927,"metal cation transporter, putative "
LOC_Os06g19070,2.48,6.40E-53,12.675,66.043,"cytochrome P450, putative "
LOC_Os06g25010,2.48,4.05E-16,0.978,5.006,"glycosyl hydrolase, putative "
LOC_Os10g41230,2.47,9.32E-78,8.207,42.830,"homeobox associated leucine zipper, putative "
LOC_Os05g04550,2.47,6.18E-47,3.626,18.885,"CAMK_KIN1/SNF1/Nim1_like.3 - CAMK includes calcium/calmodulin depedent protein kinases, "
